Target_Date,Stock,news_count,avg_sentiment,avg_fused_score,avg_bert_score,avg_lexicon_score,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,sentiment_momentum
2023-02-15,DELTA,1,1.0,0.2817,-0.0261,1.0,1,0,0,1.0,0.0,0.5
2023-02-15,PTT,1,1.0,0.1914,0.021,0.589,1,0,0,1.0,0.0,0.0
2023-02-15,SCB,1,0.0,0.0015,0.0022,0.0,0,0,1,0.0,0.0,-0.3333
2023-02-16,DELTA,2,0.0,-0.042,-0.0601,0.0,0,0,2,0.0,0.0,0.6667
2023-02-16,PTT,3,0.0,0.0317,-0.0024,0.1111,1,1,1,0.333,0.333,0.3333
2023-02-16,SCB,2,-0.5,-0.1058,0.106,-0.6,0,1,1,0.0,0.5,-0.1667
2023-02-17,DELTA,1,-1.0,-0.783,-0.69,-1.0,0,1,0,0.0,1.0,0.0
2023-02-17,SCB,2,-0.5,-0.0949,-0.1356,0.0,0,1,1,0.0,0.5,-0.3333
2023-02-18,PTT,1,0.0,0.1135,0.0116,0.3514,0,0,1,0.0,0.0,0.3333
2023-02-18,SCB,1,0.0,0.0044,0.0063,0.0,0,0,1,0.0,0.0,-0.3333
2023-02-20,ADVANC,1,0.0,0.0642,0.0917,0.0,0,0,1,0.0,0.0,0.0556
2023-02-20,DELTA,1,-1.0,-0.3511,-0.073,-1.0,0,1,0,0.0,1.0,-0.6667
2023-02-21,ADVANC,1,0.0,-0.0052,-0.0075,0.0,0,0,1,0.0,0.0,0.0
2023-02-21,DELTA,1,-1.0,-0.2984,-0.4263,0.0,0,1,0,0.0,1.0,-1.0
2023-02-21,PTT,1,1.0,0.2973,-0.0039,1.0,1,0,0,1.0,0.0,0.3333
2023-02-21,SCB,2,-0.5,-0.1594,-0.0134,-0.5,0,1,1,0.0,0.5,-0.3333
2023-02-22,DELTA,2,-0.5,-0.1891,-0.0558,-0.5,0,1,1,0.0,0.5,-0.8333
2023-02-22,PTT,1,0.0,0.0063,0.009,0.0,0,0,1,0.0,0.0,0.3333
2023-02-22,SCB,1,1.0,0.3101,0.0145,1.0,1,0,0,1.0,0.0,0.1667
2023-02-23,PTT,2,-0.5,-0.1472,0.0039,-0.5,0,1,1,0.0,0.5,0.1667
2023-02-23,SCB,1,0.0,0.0022,0.0032,0.0,0,0,1,0.0,0.0,0.1667
2023-02-24,SCB,1,0.0,0.0085,0.0121,0.0,0,0,1,0.0,0.0,0.3333
2023-02-25,SCB,1,0.0,-0.0833,0.0035,-0.2857,0,0,1,0.0,0.0,0.0
2023-02-26,DELTA,1,0.0,0.1336,0.0072,0.4286,0,0,1,0.0,0.0,-0.5
2023-02-26,SCB,1,0.0,0.075,0.0595,0.1111,0,0,1,0.0,0.0,0.0
2023-02-27,ADVANC,1,-1.0,-0.343,-0.0615,-1.0,0,1,0,0.0,1.0,-0.3333
2023-02-28,PTT,1,-1.0,-0.2982,0.0026,-1.0,0,1,0,0.0,1.0,-0.5
2023-02-28,SCB,1,-1.0,-0.3004,-0.0006,-1.0,0,1,0,0.0,1.0,-0.3333
2023-03-02,DELTA,3,0.6667,0.1687,-0.0015,0.5659,2,0,1,0.667,0.0,0.0556
2023-03-03,ADVANC,1,1.0,0.2998,-0.0003,1.0,1,0,0,1.0,0.0,0.0
2023-03-03,DELTA,1,0.0,0.0052,0.0075,0.0,0,0,1,0.0,0.0,0.2222
2023-03-03,PTT,1,0.0,0.0022,0.0032,0.0,0,0,1,0.0,0.0,-0.5
2023-03-06,DELTA,1,0.0,0.0125,0.0178,0.0,0,0,1,0.0,0.0,0.2222
2023-03-07,ADVANC,1,0.0,0.1359,0.0227,0.4,0,0,1,0.0,0.0,0.0
2023-03-07,SCB,4,0.25,0.0778,0.004,0.25,2,1,1,0.5,0.25,-0.25
2023-03-09,AOT,1,0.0,0.0101,0.0144,0.0,0,0,1,0.0,0.0,0.6667
2023-03-09,DELTA,1,0.0,0.0057,0.0081,0.0,0,0,1,0.0,0.0,0.0
2023-03-10,ADVANC,1,-1.0,-0.2995,0.0007,-1.0,0,1,0,0.0,1.0,0.0
2023-03-10,AOT,3,-0.3333,-0.1029,-0.0042,-0.3333,0,1,2,0.0,0.333,0.2222
2023-03-10,DELTA,1,-1.0,-0.2995,0.0007,-1.0,0,1,0,0.0,1.0,-0.3333
2023-03-10,PTT,2,-0.5,-0.1624,-0.0177,-0.5,0,1,1,0.0,0.5,-0.5
2023-03-11,SCB,1,-1.0,-0.3246,-0.0352,-1.0,0,1,0,0.0,1.0,-0.5833
2023-03-13,PTT,1,1.0,0.3034,0.0049,1.0,1,0,0,1.0,0.0,0.1667
2023-03-13,SCB,2,0.0,-0.045,-0.0598,-0.0102,0,0,2,0.0,0.0,-0.25
2023-03-14,AOT,1,-1.0,-0.2981,0.0027,-1.0,0,1,0,0.0,1.0,-0.4444
2023-03-14,DELTA,1,0.0,-0.1043,-0.0321,-0.2727,0,0,1,0.0,0.0,-0.3333
2023-03-14,PTT,1,-1.0,-0.4515,-0.2164,-1.0,0,1,0,0.0,1.0,-0.1667
2023-03-14,SCB,3,-0.6667,-0.1909,0.0131,-0.6667,0,2,1,0.0,0.667,-0.5556
2023-03-15,ADVANC,1,0.0,-0.0003,-0.0004,0.0,0,0,1,0.0,0.0,-0.3333
2023-03-15,DELTA,1,0.0,-0.0003,-0.0004,0.0,0,0,1,0.0,0.0,-0.3333
2023-03-16,PTT,2,0.5,0.1571,0.0102,0.5,1,0,1,0.5,0.0,0.1667
2023-03-16,SCB,1,0.0,0.0317,0.0453,0.0,0,0,1,0.0,0.0,-0.2222
2023-03-19,SCB,1,-1.0,-0.3628,-0.0897,-1.0,0,1,0,0.0,1.0,-0.5556
2023-03-20,DELTA,1,-1.0,-0.2989,0.0016,-1.0,0,1,0,0.0,1.0,-0.3333
2023-03-20,SCB,1,1.0,0.189,0.0074,0.6129,1,0,0,1.0,0.0,0.0
2023-03-21,ADVANC,1,-1.0,-0.2978,0.0032,-1.0,0,1,0,0.0,1.0,-0.6667
2023-03-21,DELTA,1,-1.0,-0.2978,0.0032,-1.0,0,1,0,0.0,1.0,-0.6667
2023-03-21,PTT,1,-1.0,-0.354,-0.0772,-1.0,0,1,0,0.0,1.0,-0.5
2023-03-21,SCB,1,0.0,-0.0155,-0.0221,0.0,0,0,1,0.0,0.0,0.0
2023-03-22,ADVANC,1,-1.0,-0.2981,0.0027,-1.0,0,1,0,0.0,1.0,-0.6667
2023-03-22,AOT,2,-0.5,-0.1496,0.0005,-0.5,0,1,1,0.0,0.5,-0.6111
2023-03-22,DELTA,1,0.0,-0.004,-0.0057,0.0,0,0,1,0.0,0.0,-0.6667
2023-03-23,ADVANC,1,-1.0,-0.2999,0.0001,-1.0,0,1,0,0.0,1.0,-1.0
2023-03-23,PTT,2,-1.0,-0.2416,-0.1309,-0.5,0,2,0,0.0,1.0,-0.5
2023-03-23,SCB,1,-1.0,-0.2999,0.0001,-1.0,0,1,0,0.0,1.0,0.0
2023-03-24,PTT,1,-1.0,-0.3126,-0.018,-1.0,0,1,0,0.0,1.0,-1.0
2023-03-24,SCB,2,-0.5,-0.226,0.0019,-0.7576,0,1,1,0.0,0.5,-0.5
2023-03-27,SCB,1,0.0,0.0006,0.0009,0.0,0,0,1,0.0,0.0,-0.5
2023-03-28,ADVANC,1,0.0,-0.0031,-0.0045,0.0,0,0,1,0.0,0.0,-0.6667
2023-03-28,DELTA,1,-1.0,-0.3298,-0.0426,-1.0,0,1,0,0.0,1.0,-0.6667
2023-03-28,PTT,1,0.0,0.0062,0.0088,0.0,0,0,1,0.0,0.0,-0.6667
2023-03-30,ADVANC,1,-1.0,-0.3006,-0.0008,-1.0,0,1,0,0.0,1.0,-0.6667
2023-03-30,AOT,1,-1.0,-0.2963,0.0053,-1.0,0,1,0,0.0,1.0,-0.8333
2023-03-30,DELTA,2,0.0,-0.0288,-0.0411,0.0,1,1,0,0.5,0.5,-0.3333
2023-03-30,SCB,2,0.0,0.0242,0.0346,0.0,1,1,0,0.5,0.5,-0.1667
2023-03-31,DELTA,1,0.0,-0.0768,-0.0593,-0.1176,0,0,1,0.0,0.0,-0.3333
2023-03-31,SCB,1,0.0,0.0724,0.0224,0.1892,0,0,1,0.0,0.0,0.0
2023-04-03,ADVANC,1,1.0,0.2937,-0.009,1.0,1,0,0,1.0,0.0,0.0
2023-04-03,DELTA,2,0.0,-0.0218,-0.0312,0.0,0,0,2,0.0,0.0,0.0
2023-04-04,DELTA,2,-0.5,-0.2341,-0.3344,0.0,0,1,1,0.0,0.5,-0.1667
2023-04-05,ADVANC,1,-1.0,-0.296,0.0057,-1.0,0,1,0,0.0,1.0,-0.3333
2023-04-05,AOT,1,-1.0,-0.296,0.0057,-1.0,0,1,0,0.0,1.0,-0.8333
2023-04-05,DELTA,1,-1.0,-0.296,0.0057,-1.0,0,1,0,0.0,1.0,-0.5
2023-04-05,PTT,3,-0.6667,-0.2525,-0.075,-0.6667,0,2,1,0.0,0.667,-0.5556
2023-04-07,DELTA,1,0.0,0.0028,0.004,0.0,0,0,1,0.0,0.0,-0.5
2023-04-07,SCB,1,0.0,0.003,0.0043,0.0,0,0,1,0.0,0.0,0.0
2023-04-08,PTT,1,0.0,0.0027,0.0039,0.0,0,0,1,0.0,0.0,-0.2222
2023-04-10,AOT,1,0.0,0.0233,0.0333,0.0,0,0,1,0.0,0.0,-0.6667
2023-04-10,DELTA,1,1.0,0.301,0.0014,1.0,1,0,0,1.0,0.0,0.0
2023-04-10,PTT,1,0.0,0.0029,0.0042,0.0,0,0,1,0.0,0.0,-0.2222
2023-04-10,SCB,1,0.0,0.1041,0.2345,-0.2,0,0,1,0.0,0.0,0.0
2023-04-11,PTT,2,0.5,0.2147,0.0312,0.6428,1,0,1,0.5,0.0,0.1667
2023-04-14,DELTA,1,0.0,-0.1065,0.0127,-0.3846,0,0,1,0.0,0.0,0.3333
2023-04-15,SCB,1,-1.0,-0.3145,-0.0207,-1.0,0,1,0,0.0,1.0,-0.3333
2023-04-18,SCB,1,0.0,-0.026,0.0018,-0.0909,0,0,1,0.0,0.0,-0.3333
2023-04-19,SCB,1,0.0,0.0131,0.0187,0.0,0,0,1,0.0,0.0,-0.3333
2023-04-20,SCB,3,-0.3333,-0.1644,-0.053,-0.4242,0,1,2,0.0,0.333,-0.1111
2023-04-21,DELTA,1,0.0,-0.0903,-0.0046,-0.2903,0,0,1,0.0,0.0,0.3333
2023-04-21,PTT,1,1.0,0.3003,0.0004,1.0,1,0,0,1.0,0.0,0.5
2023-04-21,SCB,5,-0.2,-0.0704,-0.0394,-0.1429,1,2,2,0.2,0.4,-0.1778
2023-04-24,DELTA,2,0.5,0.0927,-0.0196,0.3548,1,0,1,0.5,0.0,0.1667
2023-04-25,AOT,1,-1.0,-0.2991,0.0013,-1.0,0,1,0,0.0,1.0,-0.6667
2023-04-25,DELTA,2,-1.0,-0.2993,0.001,-1.0,0,2,0,0.0,1.0,-0.1667
2023-04-26,AOT,1,1.0,0.3245,0.035,1.0,1,0,0,1.0,0.0,0.0
2023-04-27,DELTA,1,-1.0,-0.4739,-0.2485,-1.0,0,1,0,0.0,1.0,-0.5
2023-04-27,SCB,1,0.0,-0.0556,0.0063,-0.2,0,0,1,0.0,0.0,-0.1778
2023-04-28,ADVANC,1,-1.0,-0.2996,0.0005,-1.0,0,1,0,0.0,1.0,-0.3333
2023-04-28,DELTA,3,-0.3333,-0.0936,0.0092,-0.3333,0,1,2,0.0,0.333,-0.7778
2023-04-28,PTT,1,0.0,0.005,0.0072,0.0,0,0,1,0.0,0.0,0.5
2023-04-28,SCB,2,-0.5,-0.147,0.0043,-0.5,0,1,1,0.0,0.5,-0.2333
2023-05-02,PTT,1,0.0,-0.0471,0.0184,-0.2,0,0,1,0.0,0.0,0.3333
2023-05-03,ADVANC,2,0.0,0.0018,0.0026,0.0,1,1,0,0.5,0.5,-0.6667
2023-05-03,AOT,2,1.0,0.2352,0.0222,0.7322,2,0,0,1.0,0.0,0.3333
2023-05-03,DELTA,1,-1.0,-0.2904,0.0137,-1.0,0,1,0,0.0,1.0,-0.7778
2023-05-03,SCB,1,-1.0,-0.297,0.0043,-1.0,0,1,0,0.0,1.0,-0.5
2023-05-05,SCB,1,-1.0,-0.3064,-0.0092,-1.0,0,1,0,0.0,1.0,-0.8333
2023-05-07,AOT,1,1.0,0.3754,0.1077,1.0,1,0,0,1.0,0.0,1.0
2023-05-07,DELTA,1,0.0,-0.1417,0.0006,-0.4737,0,0,1,0.0,0.0,-0.4444
2023-05-09,SCB,1,-1.0,-0.3072,-0.0103,-1.0,0,1,0,0.0,1.0,-1.0
2023-05-10,DELTA,2,-0.5,-0.1247,-0.0251,-0.3571,0,1,1,0.0,0.5,-0.5
2023-05-10,SCB,2,-1.0,-0.2978,0.003,-1.0,0,2,0,0.0,1.0,-1.0
2023-05-11,PTT,3,0.6667,0.2019,0.0028,0.6667,2,0,1,0.667,0.0,0.2222
2023-05-12,AOT,1,0.0,-0.0104,-0.0149,0.0,0,0,1,0.0,0.0,0.6667
2023-05-13,ADVANC,1,0.0,-0.0192,-0.0275,0.0,0,0,1,0.0,0.0,-0.3333
