Date,Ticker,Open,High,Low,Close,Volume
2021-04-01,ADVANC.BK,135.32269287109375,135.71267181308536,135.32269287109375,135.32269287109375,1836600.0
2021-04-01,AOT.BK,66.69639637706044,66.69639637706044,65.72978193681318,65.971435546875,11209300.0
2021-04-01,DELTA.BK,28.735017321937075,31.862637176993992,28.441803601346773,31.667163848876953,115827000.0
2021-04-01,PTT.BK,30.309188421518527,30.49400054603998,30.12437629699707,30.12437629699707,52230600.0
2021-04-01,SCB.BK,,,,,
2021-04-02,ADVANC.BK,135.322682830109,136.10264065621914,134.9327039170539,135.71266174316406,4415700.0
2021-04-02,AOT.BK,66.21310315422687,67.42137145996094,66.21310315422687,67.42137145996094,14328900.0
2021-04-02,DELTA.BK,32.25359102964733,35.08799900543677,32.25359102964733,34.50156784057617,135737000.0
2021-04-02,PTT.BK,30.494007887663663,30.494007887663663,29.939571380615234,29.939571380615234,40479900.0
2021-04-02,SCB.BK,,,,,
2021-04-05,ADVANC.BK,135.32269256059513,135.71267150169194,134.1527557373047,134.1527557373047,3094700.0
2021-04-05,AOT.BK,67.42135720724588,67.42135720724588,65.72978193681318,65.971435546875,13283800.0
2021-04-05,DELTA.BK,36.26085078846432,38.02014040471858,34.40382824568338,37.04275894165039,150296000.0
2021-04-05,PTT.BK,29.93956868648529,30.124380838871,29.569944381713867,29.569944381713867,28921000.0
2021-04-05,SCB.BK,,,,,
2021-04-07,ADVANC.BK,133.76277124741497,133.76277124741497,132.20285554773668,132.59283447265625,7339500.0
2021-04-07,AOT.BK,64.76317309245411,65.00482672339609,63.31325130680215,63.55490493774414,30246900.0
2021-04-07,DELTA.BK,36.45633239456205,38.802049691198455,35.18573707905686,35.3812141418457,104956000.0
2021-04-07,PTT.BK,29.3851275987263,29.569939721988728,29.01550335220144,29.200315475463867,83189600.0
2021-04-07,SCB.BK,,,,,
2021-04-08,ADVANC.BK,132.59283447265625,133.3727923224954,132.20285554773668,132.59283447265625,3339200.0
2021-04-08,AOT.BK,63.07160106155108,64.27986928112102,63.07160106155108,64.03821563720703,19952100.0
2021-04-08,DELTA.BK,36.8472821128139,37.23823246321491,35.57668694928537,36.94501876831055,77223000.0
2021-04-08,PTT.BK,29.0155082604824,29.200320415007763,28.83069610595703,28.83069610595703,37568700.0
2021-04-08,SCB.BK,,,,,
